gene	OMIMG	Disease	OMIMP	Inheritance
FBXL5	605655			
FBXL6	609076			
FBXL7	605656			
FBXL8	609077			
FBXO10	609092			
FBXO11	607871	Intellectual developmental disorder with dysmorphic facies and behavioral abnormalities	618089	AD
FBXO15	609093			
FBXO16	608519			
FBXO17	609094			
FBXO2	607112			
FBXO21	609095			
FBXO22	609096			
FBXO24	609097			
FBXO25	609098			
FBXO27	609099			
FBXO28	609100	Developmental and epileptic encephalopathy 100	619777	AD
FBXO3	609089			
FBXO30	609101			
FBXO31	609102	?Intellectual developmental disorder, autosomal recessive 45	615979	AR
FBXO32	606604			
FBXO33	609103			
FBXO34	609104			
FBXO36	609105			
FBXO38	608533	Neuronopathy, distal hereditary motor, type IID	615575	AD
FBXO39	609106			
FBXO4	609090			
FBXO40	609107			
FBXO41	609108			
FBXO42	609109			
FBXO43	609110	Oocyte maturation defect 12; Spermatogenic failure 64	619697; 619696	AR
FBXO44	609111			
FBXO45	609112			
FBXO46	609117			
FBXO47	609498			
FBXO5	606013			
FBXO6	605647			
FBXO7	605648	Parkinson disease 15, autosomal recessive	260300	AR
FBXO8	605649			
FBXO9	609091			
FBXW10	611679			
FBXW10B	604596			
FBXW11	605651	Neurodevelopmental, jaw, eye, and digital syndrome	618914	AD
FBXW12	609075			
FBXW2	609071			
FBXW4	608071			
FBXW5	609072			
FBXW7	606278	Developmental delay, hypotonia, and impaired language	620012	AD
FBXW8	609073			
FBXW9	609074			
FCAMR	605484			
FCAR	147045			
FCER1A	147140			
FCER1G	147139			
FCER2	151445			
FCGBP	617553			
FCGR1A	146760	[IgG receptor I, phagocytic, familial deficiency of]		
FCGR1BP	601502			
FCGR1CP	601503			
FCGR2A	146790	{Malaria, severe, susceptibility to}; {Pseudomonas aeruginosa, susceptibility to chronic infection by, in cystic fibrosis}; {Lupus nephritis, susceptibility to}	611162; 219700; 152700	AR; AD
FCGR2B	604590	{Systemic lupus erythematosus, susceptibility to}; {Malaria, resistance to}	152700; 611162	AD
FCGR2C	612169			
FCGR3A	146740	Immunodeficiency 20	615707	AR
FCGR3B	610665			
FCGRT	601437			
FCHO1	613437	Immunodeficiency 76	619164	AR
FCHO2	613438			
FCHSD1	617555			
FCHSD2	617556			
FCMR	606015			
FCN1	601252			
FCN2	601624			
FCN3	604973	Immunodeficiency due to ficolin 3 deficiency	613860	AR
FCRL1	606508			
FCRL2	606509			
FCRL3	606510			
FCRL4	605876			
FCRL5	605877			
FCRL6	613562			
FCRLA	606891			
FCRLB	609251			
FCSK	608675	Congenital disorder of glycosylation with defective fucosylation 2	618324	AR
FDCSP	607241			
FDFT1	184420	Squalene synthase deficiency	618156	AR
FDPS	134629	Porokeratosis 9, multiple types	616631	AD
FDX1	103260			
FDX2	614585	Mitochondrial myopathy, episodic, with optic atrophy and reversible leukoencephalopathy	251900	AR
FDXR	103270	Auditory neuropathy and optic atrophy	617717	AR
FECH	612386	Protoporphyria, erythropoietic, 1	177000	AR
FEM1A	613538			
FEM1B	613539			
FEM1C	608767			
FEN1	600393			
FENDRR	614975			
FER	176942			
FERD3L	617578			
FERMT1	607900	Kindler syndrome	173650	AR
FERMT2	607746			
FERMT3	607901	Leukocyte adhesion deficiency, type III	612840	AR
FES	190030			
FETUB	605954			
FEV	607150			
FEZ1	604825			
FEZ2	604826			
FEZF1	613301	Hypogonadotropic hypogonadism 22, with or without anosmia	616030	AR
FEZF2	607414			
FFAR1	603820			
FFAR2	603823			
FFAR3	603821			
FFAR4	609044	{Obesity, susceptibility to}	607514	
FGA	134820	Hypodysfibrinogenemia, congenital; Dysfibrinogenemia, congenital; Amyloidosis, familial visceral; Afibrinogenemia, congenital	616004; 616004; 105200; 202400	AR; AD
FGB	134830	Hypofibrinogenemia, congenital; Dysfibrinogenemia, congenital; Afibrinogenemia, congenital	202400; 616004; 202400	AR
FGD1	300546	Intellectual developmental disorder, X-linked syndromic 16; Aarskog-Scott syndrome	305400; 305400	XLR
FGD2	605091			
FGD3	617554			
FGD4	611104	Charcot-Marie-Tooth disease, type 4H	609311	AR
FGD5	614788			
FGD6	613520			
FGF1	131220			
FGF10	602115	Aplasia of lacrimal and salivary glands; LADD syndrome	180920; 149730	AD
FGF11	601514			
FGF12	601513	Developmental and epileptic encephalopathy 47	617166	AD
FGF13	300070	Developmental and epileptic encephalopathy 90	301058	XLR, XLD
FGF13-AS1	301087			
FGF14	601515	Spinocerebellar ataxia 27	193003	AD
FGF16	300827	Metacarpal 4-5 fusion	309630	XLR
FGF17	603725	Hypogonadotropic hypogonadism 20 with or without anosmia	615270	AD
FGF18	603726			
FGF19	603891			
FGF2	134920			
FGF20	605558	?Renal hypodysplasia/aplasia 2	615721	AR
FGF21	609436			
FGF22	605831			
FGF23	605380	Tumoral calcinosis, hyperphosphatemic, familial, 2; Hypophosphatemic rickets, autosomal dominant	617993; 193100	AR; AD
FGF3	164950	Deafness, congenital with inner ear agenesis, microtia, and microdontia	610706	AR
FGF4	164980			
FGF5	165190	Trichomegaly	190330	AR
FGF6	134921			
FGF7	148180			
FGF8	600483	Hypogonadotropic hypogonadism 6 with or without anosmia	612702	AD
FGF9	600921	Multiple synostoses syndrome 3	612961	AD
FGFBP1	607737			
FGFBP2	607713			
FGFR1	136350	Pfeiffer syndrome; Hypogonadotropic hypogonadism 2 with or without anosmia; Jackson-Weiss syndrome; Hartsfield syndrome; Trigonocephaly 1; Osteoglophonic dysplasia; Encephalocraniocutaneous lipomatosis, somatic mosaic	101600; 147950; 123150; 615465; 190440; 166250; 613001	AD
FGFR1OP2	608858			
FGFR2	176943	Bent bone dysplasia syndrome; LADD syndrome; Antley-Bixler syndrome without genital anomalies or disordered steroidogenesis; Scaphocephaly and Axenfeld-Rieger anomaly; Jackson-Weiss syndrome; Gastric cancer, somatic; Craniofacial-skeletal-dermatologic dysplasia; Apert syndrome; Pfeiffer syndrome; Craniosynostosis, nonspecific; ?Scaphocephaly, maxillary retrusion, and impaired intellectual development; Beare-Stevenson cutis gyrata syndrome; Crouzon syndrome; Saethre-Chotzen syndrome	614592; 149730; 207410; <NA>; 123150; 613659; 101600; 101200; 101600; <NA>; 609579; 123790; 123500; 101400	AD
FGFR3	134934	Muenke syndrome; SADDAN; Hypochondroplasia; LADD syndrome; Thanatophoric dysplasia, type II; Nevus, epidermal, somatic; CATSHL syndrome; Thanatophoric dysplasia, type I; Spermatocytic seminoma, somatic; Bladder cancer, somatic; Achondroplasia; Cervical cancer, somatic; Colorectal cancer, somatic; Crouzon syndrome with acanthosis nigricans	602849; 616482; 146000; 149730; 187601; 162900; 610474; 187600; 273300; 109800; 100800; 603956; 114500; 612247	AD; AR, AD
FGFR4	134935	{Cancer progression/metastasis}		
FGFRL1	605830			
FGG	134850	Dysfibrinogenemia, congenital; Hypodysfibrinogenemia; Hypofibrinogenemia, congenital; Afibrinogenemia, congenital	616004; 616004; 202400; 202400	AR
FGGY	611370			
FGL1	605776			
FGL2	605351			
FGR	164940			
FH	136850	Leiomyomatosis and renal cell cancer; Fumarase deficiency	150800; 606812	AR; AD
FHIP2A	617312			
FHIT	601153			
FHL1	300163	Myopathy, X-linked, with postural muscle atrophy; Emery-Dreifuss muscular dystrophy 6, X-linked; ?Uruguay faciocardiomusculoskeletal syndrome; Scapuloperoneal myopathy, X-linked dominant; Reducing body myopathy, X-linked 1b, with late childhood or adult onset; Reducing body myopathy, X-linked 1a, severe, infantile or early childhood onset	300696; 300696; 300280; 300695; 300718; 300717	XLD; XLR; X-linked
FHL2	602633			
FHL3	602790			
FHL5	605126			
FHOD1	606881			
FHOD3	609691	Cardiomyopathy, familial hypertrophic, 28	619402	AD
FIBCD1	613357			
FIBIN	617085			
FIBP	608296	Thauvin-Robinet-Faivre syndrome	617107	AR
FIG4	609390	Yunis-Varon syndrome; ?Polymicrogyria, bilateral temporooccipital; Amyotrophic lateral sclerosis 11; Charcot-Marie-Tooth disease, type 4J	216340; 612691; 612577; 611228	AR; AD
FIGLA	608697	Premature ovarian failure 6	612310	AD
FIGN	605295			
FIGNL1	615383			
FILIP1	607307			
FILIP1L	612993			
FIP1L1	607686			
FIRRE	300999			
FIS1	609003			
FITM1	612028			
FITM2	612029	Siddiqi syndrome	618635	AR
FIZ1	609133			
FJX1	612206			
FKBP10	607063	Osteogenesis imperfecta, type XI; Bruck syndrome 1	610968; 259450	AR
FKBP11	610571			
FKBP14	614505	Ehlers-Danlos syndrome, kyphoscoliotic type, 2	614557	AR
FKBP15	617398			
FKBP1A	186945			
FKBP1B	600620			
FKBP2	186946			
FKBP3	186947			
FKBP4	600611			
FKBP5	602623	{Major depressive disorder and accelerated response to antidepressant drug treatment}	608516	
FKBP6	604839	Spermatogenic failure 77	620103	AR
FKBP7	607062			
FKBP8	604840			
FKBP9	616257			
FKBPL	617076			
FKRP	606596	Muscular dystrophy-dystroglycanopathy (congenital with or without impaired intellectual development), type B, 5; Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 5; Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 5	606612; 607155; 613153	AR
FKTN	607440	Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 4; Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 4; Cardiomyopathy, dilated, 1X; Muscular dystrophy-dystroglycanopathy (congenital without impaired intellectual development), type B, 4	611588; 253800; 611615; 613152	AR
FLACC1	619796			
FLAD1	610595	Lipid storage myopathy due to flavin adenine dinucleotide synthetase deficiency	255100	AR
FLCN	607273	Birt-Hogg-Dube syndrome; Colorectal cancer, somatic; Pneumothorax, primary spontaneous; Renal carcinoma, chromophobe, somatic	135150; 114500; 173600; 144700	AD
FLG	135940	Ichthyosis vulgaris; {Dermatitis, atopic, susceptibility to, 2}	146700; 605803	AR, AD
FLG2	616284	Peeling skin syndrome 6	618084	AR
FLI1	193067	Bleeding disorder, platelet-type, 21	617443	AR, AD
FLII	600362			
FLNA	300017	Otopalatodigital syndrome, type II; Intestinal pseudoobstruction, neuronal; Cardiac valvular dysplasia, X-linked; ?FG syndrome 2; Melnick-Needles syndrome; Terminal osseous dysplasia; Congenital short bowel syndrome; Otopalatodigital syndrome, type I; Heterotopia, periventricular, 1; Frontometaphyseal dysplasia 1	304120; 300048; 314400; 300321; 309350; 300244; 300048; 311300; 300049; 305620	XLD; XLR; X-linked
FLNB	603381	Larsen syndrome; Atelosteogenesis, type I; Atelosteogenesis, type III; Spondylocarpotarsal synostosis syndrome; Boomerang dysplasia	150250; 108720; 108721; 272460; 112310	AR; AD
FLNC	102565	Cardiomyopathy, familial hypertrophic, 26; Cardiomyopathy, familial restrictive 5; Myopathy, distal, 4; Myopathy, myofibrillar, 5	617047; 617047; 614065; 609524	AD
FLOT1	606998			
FLOT2	131560			
FLRT1	604806			
FLRT2	604807			
FLRT3	604808	Hypogonadotropic hypogonadism 21 with anosmia	615271	AD
FLT1	165070			
FLT3	136351	Leukemia, acute lymphoblastic, somatic; Leukemia, acute myeloid, reduced survival in, somatic; Leukemia, acute myeloid, somatic	613065; 601626; 601626	
FLT3LG	600007			
FLT4	136352	Hemangioma, capillary infantile, somatic; Lymphatic malformation 1; Congenital heart defects, multiple types, 7	602089; 153100; 618780	AD
FLVCR1	609144	Ataxia, posterior column, with retinitis pigmentosa	609033	AR
FLVCR1-DT	610864			
FLVCR2	610865	Proliferative vasculopathy and hydranencephaly-hydrocephaly syndrome	225790	AR
FMN1	136535			
FMN2	606373	Intellectual developmental disorder, autosomal recessive 47	616193	AR
FMNL1	604656			
FMNL2	616285			
FMNL3	616288			
FMO1	136130			
FMO2	603955			
FMO3	136132	Trimethylaminuria	602079	AR
FMO4	136131			
FMO5	603957			
FMOD	600245			
FMR1	309550	Fragile X tremor/ataxia syndrome; Fragile X syndrome; Premature ovarian failure 1	300623; 300624; 311360	XLD; X-linked
FMR1-AS1	300805			
FN1	135600	Spondylometaphyseal dysplasia, corner fracture type; Glomerulopathy with fibronectin deposits 2	184255; 601894	AD
FN3K	608425			
FN3KRP	611683			
FNBP1	606191			
FNBP1L	608848			
FNBP4	615265			
FNDC1	609991			
FNDC3A	615794			
FNDC3B	611909			
FNDC4	611905			
FNDC5	611906			
FNIP1	610594	Immunodeficiency 93 and hypertrophic cardiomyopathy	619705	AR
FNIP2	612768			
FNTA	134635			
FNTB	134636			
FOCAD	614606	Liver disease, severe congenital	619991	AR
FOLH1	600934			
FOLH1B	609020			
FOLR1	136430	Neurodegeneration due to cerebral folate transport deficiency	613068	AR
FOLR2	136425			
FOLR3	602469			
FOS	164810			
FOSB	164772			
FOSL1	136515			
FOSL2	601575			
FOXA1	602294			
FOXA2	600288			
FOXA3	602295			
FOXB1	619961			
FOXB2	619962			
FOXC1	601090	Axenfeld-Rieger syndrome, type 3; Anterior segment dysgenesis 3, multiple subtypes	602482; 601631	AD
FOXC2	602402	Lymphedema-distichiasis syndrome; Lymphedema-distichiasis syndrome with renal disease and diabetes mellitus	153400; 153400	AD
FOXCUT	615976			
FOXD1	601091			
FOXD2	602211			
FOXD3	611539	{Autoimmune disease, susceptibility to, 1}	607836	AD
FOXD4	601092			
FOXD4L1	611084			
FOXD4L3	611086			
FOXD4L4	611085			
FOXE1	602617	Bamforth-Lazarus syndrome; {Thyroid cancer, nonmedullary, 4}	241850; 616534	AR; AD
FOXE3	601094	Anterior segment dysgenesis 2, multiple subtypes; {Aortic aneurysm, familial thoracic 11, susceptibility to}; Cataract 34, multiple types	610256; 617349; 612968	AR; AD
FOXF1	601089	Alveolar capillary dysplasia with misalignment of pulmonary veins	265380	AD
FOXF2	603250			
FOXG1	164874	Rett syndrome, congenital variant	613454	AD
FOXH1	603621			
FOXI1	601093	Enlarged vestibular aqueduct	600791	AR
FOXI2	617202			
FOXI3	612351			
FOXJ1	602291	Ciliary dyskinesia, primary, 43	618699	AD
FOXJ2	619162			
FOXJ3	616035			
FOXK1	616302			
FOXK2	147685			
FOXL1	603252			
FOXL2	605597	Blepharophimosis, epicanthus inversus, and ptosis, type 2; Blepharophimosis, epicanthus inversus, and ptosis, type 1; Premature ovarian failure 3	110100; 110100; 608996	AD; AR, AD
FOXM1	602341			
FOXN1	600838	T-cell lymphopenia, infantile, with or without nail dystrophy, autosomal dominant; T-cell immunodeficiency, congenital alopecia, and nail dystrophy	618806; 601705	AR; AD
FOXN2	143089			
FOXN3	602628			
FOXN4	609429			
FOXO1	136533	Rhabdomyosarcoma, alveolar	268220	Somatic mutation
FOXO3	602681			
FOXO4	300033			
FOXO6	611457			
FOXP1	605515	Intellectual developmental disorder with language impairment with or without autistic features	613670	AD
FOXP2	605317	Speech-language disorder-1	602081	AD
FOXP3	300292	Immunodysregulation, polyendocrinopathy, and enteropathy, X-linked	304790	XLR
FOXP4	608924			
FOXQ1	612788			
FOXR1	615755			
FOXR2	300949			
FOXRED1	613622	Mitochondrial complex I deficiency, nuclear type 19	618241	AR
FOXRED2	613777			
FOXS1	602939			
FPGS	136510			
FPGT	603609			
FPR1	136537			
FPR2	136538			
FPR3	136539			
FRA10AC1	608866	Neurodevelopmental disorder with growth retardation, dysmorphic facies, and corpus callosum abnormalities	620113	AR
FRAS1	607830	Fraser syndrome 1	219000	AR
FRAT1	602503			
FRAT2	605006			
FREM1	608944	Manitoba oculotrichoanal syndrome; Bifid nose with or without anorectal and renal anomalies; Trigonocephaly 2	248450; 608980; 614485	AR; AD
FREM2	608945	Fraser syndrome 2; Cryptophthalmos, unilateral or bilateral, isolated	617666; 123570	AR
FREM3	608946			
FRG1	601278			
FRG2	609032			
FRK	606573			
FRMD3	607619			
FRMD4A	616305	?Corpus callosum, agenesis of, with facial anomalies and cerebellar ataxia	616819	AR
FRMD4B	617467			
FRMD5	616309	Neurodevelopmental disorder with eye movement abnormalities and ataxia	620094	AD
FRMD6	614555			
FRMD7	300628	Nystagmus, infantile periodic alternating, X-linked; Nystagmus 1, congenital, X-linked	310700; 310700	X-linked
FRMD8	618337			
FRMPD1	616919			
FRMPD2	613323			
FRMPD3	301005			
FRMPD4	300838	Intellectual developmental disorder, X-linked 104	300983	X-linked
FRRS1	611578			
FRRS1L	604574	Developmental and epileptic encephalopathy 37	616981	AR
FRS2	607743			
FRS3	607744			
FRY	614818			
FRZB	605083	{Osteoarthritis susceptibility 1}	165720	Multifactorial
FSBP	616306			
FSCB	611779			
FSCN1	602689			
FSCN2	607643	Retinitis pigmentosa 30	607921	
FSCN3	615800			
FSD1	609828			
FSD1L	609829			
FSHB	136530	Hypogonadotropic hypogonadism 24 without anosmia	229070	AR
FSHR	136435	Ovarian response to FSH stimulation; Ovarian hyperstimulation syndrome; Ovarian dysgenesis 1	276400; 608115; 233300	AR; AD
FSIP1	615795			
FSIP2	615796	Spermatogenic failure 34	618153	AR
FST	136470			
FSTL1	605547			
FSTL3	605343			
FSTL5	620128			
FTCD	606806	Glutamate formiminotransferase deficiency	229100	AR
FTCDNL1	614308			
FTH1	134770	?Hemochromatosis, type 5	615517	AD
FTHL17	300308			
FTL	134790	Hyperferritinemia-cataract syndrome; L-ferritin deficiency, dominant and recessive; Neurodegeneration with brain iron accumulation 3	600886; 615604; 606159	AD; AR, AD
FTMT	608847			
FTO	610966	Growth retardation, developmental delay, facial dysmorphism; {Obesity, susceptibility to, BMIQ14}	612938; 612460	AR
FTSJ1	300499	Intellectual developmental disorder, X-linked 9	309549	XLR
FTSJ3	618411			
FTX	300936			
FUBP1	603444			
FUBP3	603536			
FUCA1	612280	Fucosidosis	230000	AR
FUCA2	136820			
FUNDC1	300871			
FUNDC2	301042			
FUOM	617725			
FURIN	136950			
FUS	137070	Amyotrophic lateral sclerosis 6, with or without frontotemporal dementia; Essential tremor, hereditary, 4	608030; 614782	AD
FUT1	211100	[Bombay phenotype]	616754	AR
FUT10	616931			
FUT11	616932			
FUT2	182100	{Norwalk virus infection, resistance to}; {Vitamin B12 plasma level QTL1}; [Bombay phenotype, digenic]	<NA>; 612542; 616754	AR
FUT3	111100	[Blood group, Lewis]	618983	
FUT4	104230			
FUT5	136835			
FUT6	136836	[Fucosyltransferase 6 deficiency]	613852	
FUT7	602030			
FUT8	602589	Congenital disorder of glycosylation with defective fucosylation 1	618005	AR
FUT9	606865			
FUZ	610622	{Neural tube defects, susceptibility to}	182940	AD
FXN	606829	Friedreich ataxia with retained reflexes; Friedreich ataxia	229300; 229300	AR
FXR1	600819	?Myopathy, congenital, with respiratory insufficiency and bone fractures; ?Myopathy, congenital proximal, with minicore lesions	618822; 618823	AR
FXR2	605339			
FXYD1	602359			
FXYD2	601814	Hypomagnesemia 2, renal	154020	AD
FXYD3	604996			
FXYD4	616926			
FXYD5	606669			
FXYD6	606683			
FXYD7	606684			
FYB1	602731	Thrombocytopenia 3	273900	AR
FYB2	618478			
FYCO1	607182	Cataract 18, autosomal recessive	610019	AR
FYN	137025			
FYTTD1	616933			
FZD1	603408			
FZD10	606147			
FZD2	600667	Omodysplasia 2	164745	AD
FZD3	606143			
FZD4	604579	Retinopathy of prematurity; Exudative vitreoretinopathy 1	133780; 133780	AD
FZD5	601723			
FZD6	603409	Nail disorder, nonsyndromic congenital, 1	161050	AR
FZD7	603410			
FZD8	606146			
FZD9	601766			
FZR1	603619			
G0S2	614447			
G2E3	611299			
G3BP1	608431			
G3BP2	620020			
G6PC1	613742	Glycogen storage disease Ia	232200	AR
G6PC2	608058			
G6PC3	611045	Dursun syndrome; Neutropenia, severe congenital 4, autosomal recessive	612541; 612541	AR
G6PD	305900	Hemolytic anemia, G6PD deficient (favism); {Resistance to malaria due to G6PD deficiency}	300908; 611162	X-linked
GAA	606800	Glycogen storage disease II	232300	AR
GAB1	604439	?Deafness, autosomal recessive 26	605428	AR
GAB2	606203			
GAB3	300482			
GABARAP	605125			
GABARAPL1	607420			
GABARAPL2	607452			
GABBR1	603540			
GABBR2	607340	{Nicotine dependence, protection against}; {Nicotine dependence, susceptibility to}; Developmental and epileptic encephalopathy 59; Neurodevelopmental disorder with poor language and loss of hand skills	188890; 188890; 617904; 617903	AD
GABPA	600609			
GABPB1	600610			
GABRA1	137160	{Epilepsy, juvenile myoclonic, susceptibility to, 5}; Developmental and epileptic encephalopathy 19; {Epilepsy, childhood absence, susceptibility to, 4}	611136; 615744; 611136	AD
GABRA2	137140	Developmental and epileptic encephalopathy 78; {Alcohol dependence, susceptibility to}	618557; 103780	Multifactorial; AD
GABRA3	305660	Epilepsy, X-linked 2, with or without impaired intellectual development and dysmorphic features	301091	X-linked
GABRA4	137141			
GABRA5	137142	Developmental and epileptic encephalopathy 79	618559	AD
GABRA6	137143			
GABRB1	137190	Developmental and epileptic encephalopathy 45	617153	AD
GABRB2	600232	Developmental and epileptic encephalopathy 92	617829	AD
GABRB3	137192	{Epilepsy, childhood absence, susceptibility to, 5}; Developmental and epileptic encephalopathy 43	612269; 617113	AD
GABRD	137163	{Epilepsy, idiopathic generalized, 10}; {Epilepsy, juvenile myoclonic, susceptibility to}; {Generalized epilepsy with febrile seizures plus, type 5, susceptibility to}	613060; 613060; 613060	AD
GABRE	300093			
GABRG1	137166			
GABRG2	137164	Developmental and epileptic encephalopathy 74; Febrile seizures, familial, 8; Generalized epilepsy with febrile seizures plus, type 3	618396; 607681; 607681	AD
GABRG3	600233			
GABRP	602729			
GABRQ	300349			
GABRR1	137161			
GABRR2	137162			
GABRR3	618668			
GACAT2	616131			
GACAT3	616132			
GAD1	605363	Developmental and epileptic encephalopathy 89	619124	AR
GAD2	138275			
GADD45A	126335			
GADD45B	604948			
GADD45G	604949			
GADD45GIP1	605162			
GADL1	615601			
GAGE1	300594			
GAGE10	300737			
GAGE12C	300727			
GAGE12D	300728			
GAGE12E	300729			
GAGE12F	300730			
GAGE12G	300731			
GAGE12H	300732			
GAGE12I	300637			
GAGE12J	300733			
GAGE13	300734			
GAGE2A	300720			
GAGE2B	300726			
GAGE2C	300595			
GAGE2D	300735			
GAGE2E	300736			
GAGE4	300597			
GAGE5	300598			
GAGE6	300599			
GAGE7	300601			
GAGE8	300638			
GAK	602052			
GAL	137035	?Epilepsy, familial temporal lobe, 8	616461	AD
GAL3ST1	602300			
GAL3ST2	608237			
GAL3ST3	608234			
GAL3ST4	608235			
GALC	606890	Krabbe disease	245200	AR
GALE	606953	Galactose epimerase deficiency	230350	AR
GALK1	604313	Galactokinase deficiency with cataracts	230200	AR
GALK2	137028			
GALM	137030	Galactosemia IV	618881	AR
GALNS	612222	Mucopolysaccharidosis IVA	253000	AR
GALNT1	602273			
GALNT10	608043			
GALNT11	615130			
GALNT12	610290	{Colorectal cancer, susceptibility to, 1}	608812	
GALNT13	608369			
GALNT14	608225			
GALNT15	615131			
GALNT16	615132			
GALNT17	615137			
GALNT18	615136			
GALNT2	602274	Congenital disorder of glycosylation, type IIt	618885	AR
GALNT3	601756	Tumoral calcinosis, hyperphosphatemic, familial, 1	211900	AR
GALNT4	603565			
GALNT5	615129			
GALNT6	605148			
GALNT7	605005			
GALNT8	606250			
GALNT9	606251			
GALNTL5	615133			
GALNTL6	615138			
GALP	611178			
GALR1	600377			
GALR2	603691			
GALR3	603692			
GALT	606999	Galactosemia	230400	AR
GAMT	601240	Cerebral creatine deficiency syndrome 2	612736	AR
GAN	605379	Giant axonal neuropathy-1	256850	AR
GANAB	104160	Polycystic kidney disease 3	600666	AD
GANC	104180			
GAP43	162060			
GAPDH	138400			
GAPDHS	609169			
GAPVD1	611714			
GAR1	606468			
GAREM1	617998			
GAREM2	617999			
GARIN1A	619904			
GARIN1B	619905			
GARIN2	619898			
GARIN3	619883			
GARIN4	619852			
GARIN5A	619890			
GARRE1	619335			
GARS1	600287	Spinal muscular atrophy, infantile, James type; Neuronopathy, distal hereditary motor, type VA; Charcot-Marie-Tooth disease, type 2D	619042; 600794; 601472	AD
GART	138440			
GAS1	139185			
GAS2	602835			
GAS2L1	602128			
GAS2L2	611398	?Ciliary dyskinesia, primary, 41	618449	AR
GAS2L3	617224			
GAS5	608280			
GAS6	600441			
GAS7	603127			
GAS8	605178	Ciliary dyskinesia, primary, 33	616726	AR
GAS8-AS1	605179			
GAST	137250			
GATA1	305371	Leukemia, megakaryoblastic, with or without Down syndrome, somatic; Thrombocytopenia, X-linked, with or without dyserythropoietic anemia; Anemia, X-linked, with/without neutropenia and/or platelet abnormalities; Thrombocytopenia with beta-thalassemia, X-linked; Hemolytic anemia due to elevated adenosine deaminase	190685; 300367; 300835; 314050; 301083	XLR
GATA2	137295	{Leukemia, acute myeloid, susceptibility to}; Emberger syndrome; Immunodeficiency 21; {Myelodysplastic syndrome, susceptibility to}	601626; 614038; 614172; 614286	Somatic mutation, AD; AD
GATA3	131320	Hypoparathyroidism, sensorineural deafness, and renal dysplasia	146255	AD
GATA4	600576	Tetralogy of Fallot; Atrial septal defect 2; Ventricular septal defect 1; Atrioventricular septal defect 4; ?Testicular anomalies with or without congenital heart disease	187500; 607941; 614429; 614430; 615542	AD
GATA5	611496	Congenital heart defects, multiple types, 5	617912	AR, AD
GATA6	601656	Atrial septal defect 9; Persistent truncus arteriosus; Pancreatic agenesis and congenital heart defects; Atrioventricular septal defect 5; Tetralogy of Fallot	614475; 217095; 600001; 614474; 187500	AD
GATAD1	614518	?Cardiomyopathy, dilated, 2B	614672	AR
GATAD2A	614997			
GATAD2B	614998	GAND syndrome	615074	AD
GATB	603645	?Combined oxidative phosphorylation deficiency 41	618838	AR
GATC	617210	Combined oxidative phosphorylation deficiency 42	618839	AR
GATD3	601659			
GATM	602360	Cerebral creatine deficiency syndrome 3; Fanconi renotubular syndrome 1	612718; 134600	AR; AD
GBA1	606463	{Lewy body dementia, susceptibility to}; Gaucher disease, type II; Gaucher disease, type IIIC; Gaucher disease, type III; Gaucher disease, type I; Gaucher disease, perinatal lethal; {Parkinson disease, late-onset, susceptibility to}	127750; 230900; 231005; 231000; 230800; 608013; 168600	AR; AD; Multifactorial, AD
GBA2	609471	Spastic paraplegia 46, autosomal recessive	614409	AR
GBA3	606619			
GBE1	607839	Glycogen storage disease IV; Polyglucosan body disease, adult form	232500; 263570	AR
GBF1	603698	Charcot-Marie-Tooth disease, axonal, type 2GG	606483	AD
GBGT1	606074			
GBP1	600411			
GBP2	600412			
GBP3	600413			
GBP4	612466			
GBP5	611467			
GBP6	612467			
GBP7	612468			
GBX1	603354			
GBX2	601135			
GC	139200			
GCA	607030			
GCAT	607422			
GCC1	607418			
GCC2	612711			
GCDH	608801	Glutaricaciduria, type I	231670	AR
GCFC2	189901			
GCG	138030			
GCGR	138033	Mahvash disease	619290	AR
GCH1	600225	Dystonia, DOPA-responsive; Hyperphenylalaninemia, BH4-deficient, B	128230; 233910	AR; AR, AD
GCHFR	602437			
GCK	138079	MODY, type II; Diabetes mellitus, permanent neonatal 1; Hyperinsulinemic hypoglycemia, familial, 3; Diabetes mellitus, noninsulin-dependent, late onset	125851; 606176; 602485; 125853	AR; AD
GCKR	600842	[Fasting plasma glucose level QTL 5]	613463	
GCLC	606857	{Myocardial infarction, susceptibility to}; Hemolytic anemia due to gamma-glutamylcysteine synthetase deficiency	608446; 230450	AR
GCLM	601176	{Myocardial infarction, susceptibility to}	608446	
GCM1	603715			
GCM2	603716	Hypoparathyroidism, familial isolated 2; Hyperparathyroidism 4	618883; 617343	AD; AR, AD
GCN1	605614			
GCNA	300369	Spermatogenic failure, X-linked, 4	301077	X-linked
GCNT1	600391			
GCNT2	600429	[Blood group, Ii]; Adult i phenotype without cataract; Cataract 13 with adult i phenotype	110800; 110800; 116700	AR; AD
GCNT3	606836			
GCNT4	616782			
GCSAM	607792			
GCSH	238330	?Glycine encephalopathy	605899	AR
GDA	139260			
